Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
757573,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757524,43,31,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757493,2133,1204,0,83,24,25527.8,28977.82,12278.18,13249.61,218.71,192.67,0,87,29693.18
757488,5,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757460,29,16,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757418,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757416,77,35,0,10,3,148.94,149.0,73.68,75.26,197.97,197.9,0,13,172.99
757348,82,41,0,10,3,14.52,24.75,7.3,7.22,342.8,201.12,0,4,63.03
757324,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757318,71,56,0,9,1,10.54,10.55,5.39,5.14,205.11,204.92,0,1,10.55
757238,77,37,0,8,1,91.2,90.95,46.69,44.5,204.36,204.92,0,7,101.46
757225,6,3,0,1,1,64.77,64.82,33.16,31.6,205.08,204.92,0,4,64.82
757224,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757223,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757205,33,9,0,3,1,165.57,164.28,84.77,80.8,203.31,204.92,0,3,164.28
757152,15,4,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757141,77,57,0,8,1,17.69,17.56,9.05,8.63,203.41,204.92,0,1,17.56
757137,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757124,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757118,49,21,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757105,7,5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757103,13618,6789,0,1550,125,3218.15,3883.83,1647.69,1570.46,247.31,204.92,0,258,6920.68
757091,107,59,0,13,6,120.88,188.17,47.21,73.66,255.43,164.09,0,14,453.31
757064,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757023,3,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757021,11,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757014,2,1,0,1,1,-101.93,-104.46,-101.93,0.0,0.0,0.0,0,1,87.71
756943,10,8,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756941,21,7,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756940,3,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756912,80,34,0,8,5,88.37,90.05,45.24,43.12,208.81,204.92,0,16,217.46
756863,3,2,0,2,2,167.54,171.84,73.35,94.19,182.43,177.87,0,12,408.72
756858,14,14,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756854,7,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756819,17,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756809,3,1,0,1,1,-480.31,-476.08,-480.31,0.0,0.0,0.0,0,1,526.52
756805,4,3,0,1,1,526.35,526.35,269.49,256.86,204.92,204.92,0,1,526.35
756786,10,5,0,2,1,-17.41,-16.84,-17.41,0.0,0.0,0.0,0,6,69.6
756766,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756731,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756720,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756700,126,74,0,22,11,104.5,111.58,62.46,42.03,265.43,248.59,0,25,420.07
756699,642,319,0,44,14,111.31,568.18,-39.26,150.57,377.34,73.93,0,31,1085.7
756697,283,170,0,29,7,98.16,316.21,44.11,54.04,585.09,181.63,0,10,895.68
756692,4,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756685,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756682,1,1,0,1,1,7.88,10.53,4.03,3.84,273.6,204.92,0,1,10.53
756666,11,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756623,7,7,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756581,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756577,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756574,36,13,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756505,18,5,0,4,2,42.35,42.2,24.5,17.84,236.53,237.37,0,5,77.37
756494,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756487,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756483,46,15,0,4,1,26.12,26.55,13.37,12.74,208.27,204.92,0,1,26.55
756406,6,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756399,182,78,0,24,6,306.69,391.61,157.02,149.66,261.65,204.92,0,17,417.51
756355,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756350,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756280,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756241,1336,752,0,154,46,1489.56,1890.01,632.12,857.44,220.42,173.72,0,102,3238.46
756084,41,22,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756082,17,10,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756081,15,13,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756034,16,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
756031,164,69,0,12,5,97.95,100.08,53.16,44.79,223.42,218.68,0,14,203.86
756030,6,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
