Month,Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
2024-11,434147,203,191,0,7,1,-156.6,-151.82,-156.6,0.0,0.0,0.0,0,3,112.89
2024-11,434122,407,333,0,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434096,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434089,17,14,0,2,1,0.0,17.37,0.0,0.0,0.0,0.0,0,1,17.37
2024-11,434083,1,1,0,1,1,-0.51,-0.51,-0.51,0.0,0.0,0.0,0,1,17.42
2024-11,433983,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433957,2620,1719,0,431,104,5459.76,6304.88,2285.07,3174.68,198.6,171.98,0,276,10478.6
2024-11,433943,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433866,11,6,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433847,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433842,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433690,5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433689,55,53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433673,5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433639,16,8,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433631,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433623,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433622,39,14,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433620,4,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433614,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433553,12,5,0,1,1,19.2,20.0,9.98,9.21,217.01,208.33,0,2,20.0
2024-11,433549,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433486,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433483,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433476,2,2,0,0,1,-0.02,0.17,-0.02,0.0,0.0,0.0,0,1,10.53
2024-11,433466,22,14,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433461,9,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433443,49,43,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433440,13,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433439,40,22,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433437,5,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433434,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433374,29,16,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433370,328,214,0,65,14,582.95,691.08,295.59,287.35,240.5,202.87,0,18,790.07
2024-11,433367,79,76,0,7,2,34.16,37.94,17.76,16.39,231.43,208.33,0,3,37.94
2024-11,433358,6,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433352,36,27,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433314,34,21,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433283,19,9,0,4,2,-79.61,-79.31,-87.94,8.33,-951.35,-954.83,0,2,34.98
2024-11,433238,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433215,168,98,0,19,3,-305.58,-136.62,-334.53,28.95,-471.79,-1055.24,0,7,183.23
2024-11,433151,637,370,0,38,9,156.78,288.23,78.49,78.28,368.16,200.26,0,11,474.51
2024-11,433037,29,20,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,433018,3459,1493,0,373,150,2332.87,3732.53,897.62,1435.25,260.06,162.54,0,243,4966.21
2024-11,433000,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,432988,2677,1524,0,248,72,3219.41,5143.52,622.09,2597.31,198.03,123.95,0,377,13479.87
2024-11,432986,6,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,432905,112,39,0,7,2,118.27,142.34,58.86,59.4,239.59,199.08,0,30,592.0
2024-11,432804,44,19,0,5,1,-0.58,10.43,-0.92,0.34,3059.0,-170.25,0,1,10.44
2024-11,432718,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,432694,199,88,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,432693,456,311,0,50,6,175.19,253.17,85.47,89.72,282.18,195.26,0,7,253.18
2024-11,432678,115,96,0,31,5,78.65,80.98,41.27,37.37,216.67,210.44,0,10,110.42
2024-11,432640,226,154,0,25,3,20.98,21.93,9.96,11.02,199.0,190.46,0,4,40.68
2024-11,432586,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,432582,170,74,0,24,4,43.56,45.96,20.17,23.39,196.48,186.22,0,6,74.82
2024-11,432573,360,248,0,55,10,70.61,184.32,40.52,30.09,612.54,234.67,0,15,262.02
2024-11,432558,64,45,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,432509,97,36,0,11,3,11.27,12.05,3.28,7.98,150.98,141.19,0,3,38.02
2024-11,432498,125,87,0,14,5,40.63,66.01,18.66,21.97,300.47,184.94,0,7,78.04
2024-11,432334,15,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,432291,16,12,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,431772,0,0,0,0,1,21.99,22.8,11.43,10.55,216.06,208.33,0,2,22.81
2024-11,431697,4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,431592,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,431397,11589,6305,0,1165,205,6917.61,11837.19,1415.66,5501.94,215.15,125.73,0,611,19313.84
2024-11,431316,37,31,0,5,2,24.31,32.71,12.64,11.67,280.21,208.33,0,3,32.71
2024-11,431108,12,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
